root_id,x_nm,y_nm,z_nm
720575941610635497,376012,190316,206595
720575941618500821,464120,592356,145800
720575941511480529,456904,734256,116145
720575941623349659,495612,727732,109035
720575941544706053,498236,731140,179325
720575941465080342,440560,588400,129420
720575941512987129,542816,687592,206865
720575941450007111,490816,811248,202140
720575941653562385,389028,988520,274050
720575941437948479,482952,883408,229635
720575941540185213,429132,719872,172215
720575941724471354,454632,773936,178155
720575941545690217,409676,173104,214605
720575941514888282,604528,196316,209295
720575941551326235,436388,739304,170820
720575941579900149,427700,847056,230715
720575941459313478,451616,604752,94680
720575941450532174,462116,794472,190125
720575941482381391,382952,883876,224100
720575941541494876,579252,206620,199845
720575941499027618,584584,189660,196650
720575941600149801,585292,198992,214875
720575941449876661,419096,185188,222030
720575941611160294,366968,195664,210870
720575941526881380,378920,119868,170415
720575941501912114,521356,641432,157095
720575941479171267,504124,651540,172530
720575941429363809,463076,797732,232695
720575941564105479,467812,686304,178155
720575941498634825,376784,190836,201015
720575941562925319,589720,141468,187875
720575941592876327,380664,173988,212895
720575941436900319,415352,720068,133380
720575941528782027,444324,744564,153135
720575941536318869,408204,734920,191790
720575941692097243,447180,755780,141030
720575941515936505,467840,736928,193770
720575941598249152,417664,162560,243900
720575941563450002,407992,189796,219465
720575941592286348,742868,117324,111150
720575941516199235,770192,107980,143415
720575941558861839,598188,691004,213030
720575941632262816,600668,70472,87975
720575941539791253,395912,137244,60525
720575941482579202,590288,78688,79920
720575941680234941,535368,80880,95175
720575941511808210,485512,80604,119340
720575941510824208,588032,73040,83295
720575941625184458,608656,85116,52650
720575941514428442,605508,91924,74340
720575941353930800,552408,177260,79605
720575941638423413,449680,53212,122490
720575941470586123,412632,76360,83205
720575941548376200,414968,70276,85545
720575941612274150,560048,58484,126540
720575941531599544,415216,70472,83475
720575941527143449,414136,75124,77310
720575941559125007,406652,132192,72900
720575941515346169,600756,93108,72405
720575941517902252,407912,170908,67095
720575941573346120,395800,728348,144180
720575941526749442,622120,132712,183735
720575941594448491,326764,156656,138330
720575941576360591,320008,117584,242190
720575941493981822,592696,200312,197055
720575941505451202,549684,74312,154665
720575941553554494,705152,94592,113130
720575941503746539,262080,83072,167805
720575941472485899,297596,128756,122670
720575941533631461,641000,125668,153225
720575941509251106,327168,161600,232830
720575941633245600,691700,116348,209340
720575941564760064,515928,106552,100890
720575941441815899,527300,97928,84600
720575941559714030,596084,84500,77265
720575941411405995,486924,682348,157365
720575941549621537,561008,151408,240075
720575941449548125,430908,59816,113535
720575941450334301,440480,52208,140040
720575941463900429,402136,65788,131175
720575941577868648,390896,73732,103365
720575941572886856,413632,72616,87345
720575941692424667,585604,80808,147240
720575941630428130,395628,71872,91440
720575941603493110,566420,78596,81180
720575941538873827,340928,106240,99540
720575941571248628,580744,80376,81675
720575941459640464,441716,932440,258525
720575941501845554,513212,699624,198855
720575941461082381,511564,694404,200385
720575941468815382,371428,198152,216450
720575941413568660,353940,177340,214920
720575941550146559,373956,194108,225000
720575941690065371,504604,770364,253845
720575941463638285,505564,801152,210375
720575941538087829,423520,930404,267705
720575941572231177,481196,934324,259065
720575941595956337,581224,715336,235080
720575941472748384,490936,775300,220500
720575941630296517,539168,765968,207450
720575941518427319,526252,619836,206145
720575941519279064,482668,871488,288135
720575941543658428,478736,622188,138555
720575941451841863,535208,690200,219375
720575941642158418,469008,918848,256590
720575941488542414,462928,627708,137070
720575941559321971,459636,697428,166365
720575941562336519,475780,749272,149850
720575941450597710,443492,745544,148410
720575941594776939,499696,626580,96165
720575941604082361,592684,579544,125460
720575941542477916,586480,644252,129330
720575941504860354,585140,625560,220995
720575941592155350,567548,717812,221940
720575941563254070,530388,646644,170370
720575941567644530,551392,649036,159750
720575941401773091,599936,644880,112815
720575941502043531,551668,589632,108315
720575941563842663,579752,729620,202680
720575941667258801,415960,953108,289215
720575941485592838,433068,867852,189585
720575941601591337,465096,637268,158355
720575941539464317,501404,733304,123435
720575941496079433,490248,572932,119295
720575941587304759,422732,762872,124470
720575941412323473,537276,719528,261180
720575941436703039,452060,763624,169110
720575941660771708,560932,774504,211635
720575941544116668,603804,198804,207225
720575941493522864,596744,130572,183420
720575941623284362,476520,715216,226935
720575941464686861,483520,731136,142875
720575941592154582,447100,713592,243900
720575941573542813,532920,731240,160785
720575941433230368,599904,609464,177480
720575941659328848,402704,899900,209025
720575941552374273,561076,738644,237645
720575941431854217,587716,619244,161190
720575941453939693,572020,778396,197280
720575941639340405,481812,831340,285660
720575941563450678,506240,706240,213210
720575941441356479,395700,194296,199035
720575941603427513,373088,195468,223020
720575941537759720,590144,181900,230175
720575941471043851,602440,204048,213075
720575941429231969,409552,861804,224010
720575941566202471,439648,604156,148320
720575941588878647,579584,176016,212265
720575941492015847,572560,184544,212895
720575941534876865,555200,196160,238500
720575941526028388,595344,148952,184320
720575941459116102,594252,146792,188685
720575941588026692,592872,192292,197235
720575941615485459,406144,940656,251190
720575941632722080,602444,179016,208170
720575941657888080,585820,181928,199620
720575941589205303,587944,187580,211905
720575941404459632,596076,198488,225945
720575941514559564,535704,739728,200025
720575941658018384,536104,622168,97380
720575941481989059,604004,613004,192780
720575941462065875,616848,629276,192825
720575941559975951,402560,934752,191835
720575941532385624,454520,706256,242280
720575941526880868,385588,169140,195300
720575941506565189,413272,175244,235485
720575941482840317,419944,177772,228195
720575941438079020,589896,178392,213615
720575941528126340,552752,187444,228870
720575941537825256,370104,174164,199350
720575941496734592,591676,175020,206145
720575941656380377,794724,121224,89370
720575941439652370,286116,154540,165645
720575941503419735,370208,197100,207990
720575941505975356,593864,201980,223515
720575941574066334,691856,126432,113355
720575941518426284,355672,183628,227925
720575941645042021,725000,143844,150120
720575941504532971,763796,138280,144585
720575941460034463,760608,129008,120915
720575941629773369,197428,137232,88425
720575941564565255,513520,198928,96975
720575941592549516,398760,102948,118035
720575941429037396,418468,55288,113310
720575941557028947,408940,59808,104445
720575941596678439,411748,67996,86715
720575941565483410,589564,102296,122175
720575941576165129,482684,68220,137520
720575941524588279,594684,72172,93915
720575941612734185,395320,148672,77310
720575941615814419,576884,59176,112950
720575941463705357,438384,53652,135675
720575941537826280,679444,131212,142875
720575941486053382,308208,209088,127080
720575941633116869,304232,219136,111105
720575941597989509,573080,196376,150300
720575941597595505,707528,179408,153405
720575941529306790,551196,105408,69885
720575941575903227,667256,200416,111600
720575941520459180,599056,209308,139050
720575941443127387,602468,193200,150795
720575941461477446,612976,78168,73890
720575941576034447,227592,104036,66735
720575941548640692,170176,127512,167805
720575941505451458,288604,156648,151965
720575941467506966,572080,74084,184995
720575941656447193,366056,220372,136080
