root_id,x_nm,y_nm,z_nm
720575941408220463,258864,108184,153945
720575941439324127,158168,212004,112365
720575941605309686,698412,244888,57240
720575941440209964,726748,164820,171990
720575941500373065,205368,118176,159705
720575941493175472,758448,130296,109395
720575941433362446,449452,149136,180765
720575941350645808,589748,560944,122985
720575941526740836,430120,975552,258165
720575941687454988,558128,617200,143100
720575941573906280,560912,692728,198990
720575941513356122,554528,654844,190575
720575941493320368,497636,827500,246915
720575941547841853,551264,605792,143190
720575941551375220,422768,733196,170280
720575941523100491,503260,688660,195525
720575941440360021,456996,874292,205290
720575941495621499,523128,776180,206190
720575941595198757,486844,741412,121905
720575941591943464,443228,82712,171495
720575941636488565,466808,709516,184230
720575941536391666,524872,608612,169290
720575941554790308,444696,726336,194130
720575941477190174,558172,733524,229230
720575941566774522,569164,769096,194175
720575941650604565,614032,189252,201285
720575941514037315,401088,936256,165510
720575941496666496,580348,651012,168075
720575941447822158,418000,668460,196920
720575941574707528,548396,761876,150705
720575941401795107,435524,951296,284220
720575941471089527,551132,186140,213795
720575941460371667,355076,171576,221040
720575941606595774,786048,98788,85860
720575941585398879,780564,147660,123390
720575941475738208,829304,164752,13545
720575941644254625,454760,803248,203040
720575941446102804,219140,74376,145845
720575941591947048,617204,194124,221445
720575941403496995,816132,213396,22770
720575941484810170,194296,217476,36810
720575941639887391,170784,158824,84015
720575941629341990,720584,168000,54540
720575941440145499,174632,120748,165825
720575941520656494,753084,96764,112050
720575941472352320,751604,85068,141255
720575941491734581,225728,147728,71010
720575941450345806,801612,169604,80685
720575941566752519,685572,151000,69615
720575941462924432,700424,209132,65700
720575941477027643,672596,195448,156780
720575941653026801,724828,194320,59805
720575941563116845,759984,162148,80415
720575941440401493,301428,180612,96210
720575941595809319,705792,210680,149580
720575941590940996,788844,143580,176535
720575941520410990,220640,90696,192555
720575941540743573,233944,152516,27855
720575941476215594,164676,159912,169380
720575941537709505,815800,203604,76860
720575941491004105,790932,125400,49410
720575941663649336,811024,90304,98775
720575941537028330,783524,207724,25200
720575941550878753,833288,122200,168840
720575941509760385,857736,157908,107730
720575941516199235,770192,107980,143415
720575941547806396,785796,223140,49725
720575941602056745,714968,95224,90855
720575941604947897,851116,95368,51975
720575941395185302,846832,149644,99180
720575941531667896,876140,102320,140895
720575941410133295,768836,139820,55845
720575941436559904,693780,175676,186435
720575941591007799,793608,172136,76140
720575941590181188,714944,118088,147645
720575941612322278,735800,155296,169605
720575941522299831,685640,207944,63450
720575941507545879,762468,116000,77940
720575941591739276,773668,82376,161955
720575941544090716,904732,65584,15750
720575941645611128,751744,158972,54945
720575941463013075,735352,199556,52920
720575941394406148,753768,160088,47745
720575941542809180,768780,134612,117675
720575941472847223,757824,110208,41940
720575941415164049,179936,123392,40680
720575941634388933,858700,120024,67275
720575941558831012,814280,136800,93195
720575941670304945,753356,204432,47880
720575941644846949,779244,102296,100350
720575941514906947,791920,163664,143370
720575941440423771,134912,194752,144495
720575941631027750,586888,59248,144945
720575941590730564,585504,134928,67005
720575941440447579,133464,138224,102330
720575941550198900,450352,56208,123660
720575941410865835,196340,165276,110835
720575941581182709,246864,196260,60390
720575941576154269,856356,171684,70695
720575941482130306,738652,141440,177165
720575941505149163,872508,91704,103815
720575941510663122,261692,192572,126180
720575941437536556,292272,210164,152460
720575941590196791,306112,191452,78750
720575941566509319,176012,180996,51345
720575941660766264,246848,92800,100170
720575941668012465,236208,103240,189810
720575941540207389,729196,198220,98550
720575941478273566,288776,168608,121590
720575941512106828,246096,189284,171945
720575941511778124,722852,144392,139500
720575941520889847,658688,218496,63090
720575941517765881,130512,145796,111690
720575941471666443,653032,158792,130365
720575941613612134,789936,88012,129285
720575941405694576,661376,184244,113715
720575941413949807,801436,186536,38250
720575941438430994,816228,144948,150840
720575941608724333,700748,177840,139140
720575941395076246,683928,158824,119430
720575941461731085,660044,199008,104895
720575941522504627,194896,86948,118350
720575941534536218,233948,167580,168615
720575941483413187,220500,138520,128205
720575941504466341,245744,119120,127305
720575941496486779,202652,182224,77490
720575941567982962,248448,164860,199845
720575941558381294,192636,158584,132480
720575941482928207,187632,136500,65565
720575941661142584,193892,139668,187110
720575941522153463,525476,216380,32580
720575941656583892,182892,219624,61965
720575941609335114,264512,211820,169470
720575941503436082,273304,210044,182970
720575941533359594,190736,104548,94185
720575941535081603,151680,92268,139005
720575941575927048,219500,177044,37440
720575941537165027,147684,173836,159120
720575941473754427,251968,212520,62100
720575941582767967,253764,185640,198045
720575941554321214,132992,106464,167850
720575941576996697,238528,243968,107595
720575941528164792,242672,141304,187830
720575941721542970,266176,216192,152010
720575941473814843,259504,96708,182250
720575941457977325,221008,104420,203085
720575941513768963,141056,170552,98010
720575941528972710,211392,204708,78210
720575941626909753,193268,186728,24615
720575941680100029,373632,155328,244935
720575941470751709,226316,152252,182655
720575941453086771,153844,147964,51030
720575941438661164,331228,165676,145620
720575941475596596,148408,148800,99000
720575941504223938,272852,198860,134685
720575941558270958,184740,165280,138555
720575941666256371,159216,128020,112410
720575941440435007,193572,135140,81765
720575941469812544,119624,190804,87345
720575941596690624,299760,210820,139995
720575941469281911,254344,237584,71640
720575941650240277,298944,229568,64485
720575941565441378,294440,212112,94230
720575941634796448,224552,167996,78750
720575941439486783,300668,183564,132210
720575941513985785,167236,199776,119070
720575941563513234,131012,114628,149490
720575941492807344,130060,145864,97425
720575941504525477,206416,91388,100710
720575941610343142,223552,77184,178785
720575941612621130,301776,196376,79920
720575941532618187,325668,236120,105750
720575941501597783,345152,199864,157095
720575941563059200,204396,151596,137835
720575941687771375,236864,180012,173610
720575941428279177,213336,152892,166320
720575941605690221,184488,166964,140895
720575941472984951,318812,207340,138375
720575941353112880,327924,195772,127980
720575941594467953,217888,150360,106695
720575941513438284,132240,151508,140985
720575941430171017,398648,138892,61020
720575941529048742,178040,215432,124290
720575941680625597,122300,152012,85545
720575941559628559,186372,151560,53910
720575941479020512,154368,207720,18135
720575941559680036,187636,158712,53910
720575941548068669,218248,76444,162720
720575941651262705,229508,135424,138780
720575941576469768,186028,190960,37755
720575941470460023,144832,127948,134010
720575941513975811,218108,196672,61470
720575941512447820,182084,170228,61335
720575941679713213,236600,194740,58590
720575941534224515,175448,164968,48015
720575941526461773,153956,128904,116505
720575941480112352,178076,129960,169515
720575941554912740,154360,183424,28170
720575941437096466,183816,174964,109170
720575941470120459,228388,185464,132570
720575941471499741,177364,227216,71100
720575941542276893,157080,126548,112455
720575941652316945,233536,201176,95850
720575941605402358,294816,156128,150930
720575941518599827,152448,144808,44775
720575941437265682,665216,190312,154755
720575941437118994,194316,93116,60840
720575941465138957,767348,106808,200025
720575941484411066,114400,204280,34830
720575941567701863,755036,165884,83205
720575941653771505,214976,108096,51660
720575941453476935,117212,151316,51930
720575941499208827,234648,127732,51120
720575941472174967,800212,96072,75195
720575941505838530,156952,114840,42300
720575941565391767,150956,135984,40275
720575941565889031,194376,88956,172485
720575941574093214,816744,118436,130275
720575941621001087,224356,91740,192465
720575941507006629,196336,87540,121005
720575941534115557,801556,170756,75600
720575941632879084,839976,124612,150030
720575941487771533,758796,73348,139230
720575941639894133,128504,114968,48780
720575941496013950,835420,143828,147690
720575941394542230,879344,138312,78075
720575941653188337,232604,109096,75960
720575941531598776,836916,146164,90135
720575941537107905,814964,142768,163485
720575941656288468,180384,128588,201690
720575941479986026,816512,171628,48645
720575941500067809,702952,217912,74700
720575941459878384,200816,214552,108630
720575941563555240,799720,136588,28800
720575941557404499,311084,180000,111240
720575941646805960,781360,185368,28215
720575941598907072,544964,174768,121185
720575941498996193,492348,370000,119250
720575941649901297,468348,712704,166500
720575941596082801,483928,848068,209835
720575941575575560,533768,593660,107775
720575941503524914,474876,370000,122670
720575941394131094,454308,370000,126315
720575941660026704,170532,221732,43965
720575941595008363,578544,141356,188460
720575941702256090,494628,370000,125550
720575941452566138,487032,589200,164970
720575941483105475,529860,616080,139815
720575941562409479,498980,370000,124560
720575941545086088,475804,370000,123705
720575941468862583,536780,222900,101205
720575941538411213,491464,116116,223650
720575941516764819,547256,245512,129690
720575941501974210,385404,632084,211815
720575941556952147,432880,915804,248940
720575941464618253,421096,191276,173475
720575941400707875,571976,589064,187020
720575941532528771,418412,239728,112230
720575941564808711,576072,195868,194355
720575941527183526,558088,99024,179910
720575941404166512,535312,186768,193005
720575941658237976,585548,192212,129375
720575941461276612,601536,148468,167355
720575941598475676,504896,165508,146790
720575941451611726,579004,173204,127980
720575941563566504,519876,106256,157050
720575941630662950,619176,176484,214875
720575941507616837,616996,140384,239085
720575941473900842,560948,190440,92970
720575941565428999,553208,154372,175320
720575941590967806,569144,255388,104985
720575941687197708,511992,158572,45450
720575941435949612,522656,158180,28215
720575941477361182,565896,166268,123975
720575941535851713,300404,112068,180675
720575941653976532,577972,130168,152460
720575941563485842,630996,158500,180180
720575941527668482,563364,94552,111375
720575941574459643,529428,127116,129600
720575941509586817,364480,126324,166995
720575941553295899,397144,190580,186030
720575941678615229,428832,99436,117495
720575941509536016,361968,191580,115245
720575941507733282,415368,92328,168390
720575941492007911,316396,98752,175635
720575941536057866,370328,192504,175365
720575941506339900,442948,170400,202725
720575941617718229,344820,101776,176805
720575941485690253,363632,150896,164880
720575941485642637,333076,113068,225135
720575941406936750,316844,120964,86310
720575941575612815,334584,135048,136890
720575941521612363,400760,946060,291015
720575941477436702,392640,180872,182295
720575941611461865,389876,196252,112770
720575941517087148,325696,129920,65205
720575941606844013,434916,173632,21240
720575941720866362,454548,115648,126225
720575941515284985,444620,209804,92610
720575941457051807,437488,181344,209565
720575941479655392,418624,100544,61155
720575941557572623,378440,197044,118980
720575941609737958,385960,213560,100260
720575941474782523,152112,151584,160335
720575941472113216,398452,141504,86130
720575941490709710,386728,101496,86985
720575941495703495,407884,130764,215325
720575941610982474,462732,143696,158400
720575941439021403,403936,630976,211140
720575941655663065,434940,811280,99405
720575941507224599,369356,207876,121050
720575941539891804,435828,811288,103950
720575941508346135,445920,811280,109485
720575941687153526,282316,132072,198810
720575941528169382,360520,127604,182115
720575941482111139,461016,59836,126855
720575941450978141,434784,66988,183285
720575941433136343,330448,94880,226440
720575941519664856,589584,757368,240075
720575941536965386,563744,235044,116415
720575941626680219,376908,141820,247635
720575941564662423,400176,961760,184320
720575941594303857,455648,623172,72450
720575941525723138,452796,645192,47205
720575941688171788,622160,151332,101835
720575941569311220,535432,129668,249255
720575941552851006,362436,135224,229320
720575941595563909,455220,613592,90855
720575941518801836,373128,1019532,216180
720575941555412481,411392,150804,205110
720575941438371283,439836,906180,269415
720575941438758930,602876,70016,85590
720575941612526044,340068,1012432,291555
720575941440042431,245060,183184,62460
720575941554308762,583732,825684,160380
720575941574808328,584212,67536,86220
720575941602921462,571008,825824,171090
720575941550708769,566384,56776,121545
720575941431143009,613088,86252,58860
720575941554596743,581144,825064,173475
720575941595302439,576116,686752,162135
720575941489411637,592864,828984,169245
720575941431804375,529052,215700,25875
720575941553554330,434024,217756,18405
720575941651725809,369948,1019532,216450
720575941454007859,653040,595628,112635
720575941597990300,440556,987212,233730
720575941435067424,528532,792408,173880
720575941567026676,572360,826136,164745
720575941557308196,459792,916920,222525
720575941669587955,398792,961444,302130
720575941546361605,400104,959100,308565
720575941461553808,539656,204280,31050
