root_id,is_seed,cell_class,cell_type,nerve,region
720575941493981822,False,kenyon_cell,KCab,,MB_CA
720575941533696643,False,,CB0666,,AVLP
720575941529109124,False,,CB1906,,AVLP
720575941555061383,True,chordotonal_organ_neuron,JO-E,right_antennal_nerve,AMMC
720575941432050313,False,,CB2342,,SLP
720575941623284362,False,,IN06A096,,HTCT
720575941576360591,False,,CB2129,,LH
720575941462786704,False,,CB0336,,AVLP
720575941563450002,False,kenyon_cell,KCg-m,,MB_CA
720575941565088402,False,,CB0891,,GNG
720575941692228248,False,antennal_lobe_local_neuron,lLN2X11,,AL
720575941632262816,True,chordotonal_organ_neuron,JO-F,left_antennal_nerve,NO_CONS
720575941500863138,False,,PVLP002,,AVLP
720575941451252393,False,,CB1834,,IPS
720575941518951084,False,,AVLP348,,AVLP
720575941430543023,False,mushroom_body_output_neuron,MBON25,,CRE
720575941670535857,False,,WEDPN5,,PLP
720575941519147703,False,kenyon_cell,KCab,,MB_CA
720575941531599544,True,olfactory_receptor_neuron,ORN_VC3,right_antennal_nerve,AL
720575941604082361,False,single_leg_neuromere,IN13A006,,T1_PRONM
720575941635080891,False,lateral_horn_output_neuron,CL150,,ICL
720575941441356479,False,kenyon_cell,KCg-m,,MB_CA
720575941462262468,False,,SAD093,,GNG
720575941490639561,True,olfactory_receptor_neuron,ORN_DL4,left_antennal_nerve,NO_CONS
720575941488542414,False,single_leg_neuromere,IN04B097,,T1_PRONM
720575941443322575,False,bristle_neuron,SNta11,left_anterior_dorsal_mesothoracic_nerve,AMNP
720575941462065875,False,single_leg_neuromere,IN21A007,,T1_PRONM
720575941616730837,True,olfactory_receptor_neuron,ORN_DL2v,left_antennal_nerve,AL
720575941701141210,False,lobula_columnar,LC4,,LO
720575941692097243,False,single_leg_neuromere,IN20A.22A017,,T2_MESONM
720575941471503069,False,,CB0655,,GNG
720575941479236320,False,,CB3899,,GNG
720575941611160294,False,kenyon_cell,KCab,,MB_CA
720575941492015847,False,kenyon_cell,KCapbp-ap1,,MB_CA
720575941536776938,False,antennal_lobe_local_neuron,lLN2P_b,,AL
720575941503419115,False,kenyon_cell,KCg,,MB_CA
720575941456823021,False,,AVLP194,,AVLP
720575941654217457,False,,,,LOP
720575941571511028,False,lobula_plate_lobula_columnar,LPLC4,,LOP
720575941604606710,False,,AVLP454_a,,AVLP
720575941432181496,False,lateral_horn_local_neuron,LHAV4g1b,,LH
720575941515936505,False,sequential_leg_neuromeres,IN12A001,,INTTCT
720575941590844158,True,chordotonal_organ_neuron,JO-B,right_antennal_nerve,AMMC
720575941551129343,False,antennal_lobe_local_neuron,vLN25,,AL
720575941554799361,False,,LAL030b,,LAL
720575941526946562,False,descending_neuron,DNa11,,VES
720575941564105479,False,,IN01A058,,INTTCT
720575941535335178,False,,AVLP136,,AVLP
720575941467898646,False,,PS197,,IPS
720575941535925018,False,ascending_neuron,AN19B025,,INTTCT
